City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,Bonavista,48.65,-53.11,59.0,86,100,5.99,CA,2020-08-26 04:31:45
161,San Policarpo,12.18,125.51,86.31,69,55,1.03,PH,2020-08-26 04:31:45
162,Gorontalo,0.54,123.06,86.41,61,11,10.8,ID,2020-08-26 04:31:45
163,Rabaul,-4.2,152.17,85.87,69,77,12.62,PG,2020-08-26 04:31:45
164,Virginia Beach,36.85,-75.98,82.99,74,40,5.82,US,2020-08-26 04:28:55
165,Saldanha,-33.01,17.94,55.4,93,81,2.24,ZA,2020-08-26 04:31:32
166,Tabuk,17.42,121.44,89.47,60,81,2.82,PH,2020-08-26 04:31:46
167,Aranos,-24.13,19.12,51.12,40,62,3.56,NA,2020-08-26 04:31:46
168,Khorixas,-20.37,14.97,48.6,79,0,1.14,NA,2020-08-26 04:31:47
169,Lata,40.16,-8.33,68.0,92,10,1.01,PT,2020-08-26 04:31:47
170,Srednekolymsk,67.45,153.68,51.42,52,86,10.54,RU,2020-08-26 04:31:47
171,Ulagan,50.63,87.96,50.99,65,97,6.24,RU,2020-08-26 04:31:47
172,Buin,-33.73,-70.75,46.4,93,97,6.93,CL,2020-08-26 04:31:48
173,Bluff,-46.6,168.33,45.0,72,100,11.01,NZ,2020-08-26 04:31:48
174,Verkhnyaya Inta,65.98,60.31,58.41,86,100,11.05,RU,2020-08-26 04:31:48
175,Saint-Georges,12.06,-61.75,82.4,83,40,14.99,GD,2020-08-26 04:31:49
176,Richards Bay,-28.78,32.04,68.68,68,46,21.88,ZA,2020-08-26 04:31:49
177,Kokopo,-4.35,152.26,85.48,66,74,15.59,PG,2020-08-26 04:31:49
178,Asau,46.43,26.4,62.01,90,98,1.54,RO,2020-08-26 04:31:50
179,Piracanjuba,-17.3,-49.02,59.36,39,9,8.79,BR,2020-08-26 04:31:50
180,San Javier,37.81,-0.84,75.0,100,0,4.7,ES,2020-08-26 04:31:50
181,Diapaga,12.07,1.79,69.48,93,68,4.03,BF,2020-08-26 04:31:50
182,Esperance,-33.87,121.9,64.4,77,75,4.7,AU,2020-08-26 04:31:50
183,Vao,-22.67,167.48,67.71,66,78,16.06,NC,2020-08-26 04:31:50
184,Kasungu,-13.03,33.48,68.25,63,27,10.29,MW,2020-08-26 04:31:51
185,Abu Samrah,35.3,37.18,76.62,54,0,8.23,SY,2020-08-26 04:31:51
186,Nishihara,26.18,127.76,80.6,94,75,14.99,JP,2020-08-26 04:31:51
187,Quilali,13.57,-86.03,72.64,87,100,0.92,NI,2020-08-26 04:31:52
188,Harper,4.38,-7.72,73.87,86,79,6.69,LR,2020-08-26 04:31:52
189,Karratha,-20.74,116.85,90.16,20,29,7.18,AU,2020-08-26 04:31:52
190,Kaitangata,-46.28,169.85,52.0,45,86,7.0,NZ,2020-08-26 04:31:53
191,Bonthe,7.53,-12.51,76.17,88,100,7.78,SL,2020-08-26 04:31:53
192,Haines Junction,60.75,-137.51,47.91,74,98,4.16,CA,2020-08-26 04:31:53
193,Mayfield,36.74,-88.64,73.99,94,1,4.74,US,2020-08-26 04:31:53
194,Carnarvon,-24.87,113.63,71.6,56,24,20.8,AU,2020-08-26 04:31:54
195,Kudahuvadhoo,2.67,72.89,83.79,71,100,9.71,MV,2020-08-26 04:31:54
196,Priego De Cordoba,37.44,-4.2,75.0,59,0,1.95,ES,2020-08-26 04:31:54
197,Chokurdakh,70.63,147.92,44.28,75,100,6.82,RU,2020-08-26 04:31:54
198,Mahajanga,-15.72,46.32,73.4,64,12,5.82,MG,2020-08-26 04:31:55
199,Yudong,29.39,106.52,100.99,43,0,4.47,CN,2020-08-26 04:31:55
200,Batagay,67.63,134.63,53.85,41,0,4.79,RU,2020-08-26 04:31:55
201,Bud,39.45,-86.18,78.01,100,40,2.24,US,2020-08-26 04:31:55
202,Te Anau,-45.42,167.72,41.31,91,100,7.52,NZ,2020-08-26 04:31:56
203,Visnes,59.36,5.22,55.99,71,99,9.17,NO,2020-08-26 04:31:56
204,Candolim,15.52,73.76,82.4,83,40,9.17,IN,2020-08-26 04:31:56
205,Peski,55.22,38.76,62.6,100,20,4.47,RU,2020-08-26 04:31:56
206,Sterling,39.01,-77.43,75.0,83,1,9.17,US,2020-08-26 04:31:57
207,Cherskiy,68.75,161.3,42.33,84,100,4.16,RU,2020-08-26 04:31:57
208,Georgetown,5.41,100.34,89.6,62,20,6.93,MY,2020-08-26 04:31:57
209,Bati,11.18,40.02,72.88,65,84,5.5,ET,2020-08-26 04:31:58
210,Puerto Colombia,10.99,-74.95,77.0,100,40,3.36,CO,2020-08-26 04:31:58
211,Arai,37.02,138.25,95.0,47,17,1.99,JP,2020-08-26 04:31:58
212,Shenzhen,22.55,114.07,93.2,75,20,6.71,CN,2020-08-26 04:31:58
213,Chuy,-33.7,-53.46,57.45,89,100,7.11,UY,2020-08-26 04:31:59
214,Sao Jose Da Coroa Grande,-8.9,-35.15,72.82,85,46,9.78,BR,2020-08-26 04:31:59
215,San Carlos De Bariloche,-41.15,-71.31,39.2,93,75,4.7,AR,2020-08-26 04:31:08
216,Port Alfred,-33.59,26.89,58.19,70,51,16.93,ZA,2020-08-26 04:31:59
217,Pangody,65.85,74.49,56.66,75,78,0.87,RU,2020-08-26 04:32:00
218,Am Timan,11.03,20.28,71.01,96,100,2.89,TD,2020-08-26 04:32:00
219,Khandyga,62.67,135.6,62.1,33,8,4.18,RU,2020-08-26 04:32:00
220,Guerrero Negro,27.98,-114.06,72.3,86,10,8.97,MX,2020-08-26 04:32:01
221,Soderhamn,61.3,17.06,44.01,83,5,3.78,SE,2020-08-26 04:32:01
222,Tevaitoa,-16.78,-151.5,76.51,82,62,17.18,PF,2020-08-26 04:32:02
223,Dauphin,51.15,-100.05,66.2,100,75,4.7,CA,2020-08-26 04:32:02
224,Kuytun,54.34,101.5,70.11,48,38,11.81,RU,2020-08-26 04:32:02
225,Santa Rosa,14.31,121.11,91.0,70,41,18.34,PH,2020-08-26 04:27:10
226,Arroyo,41.61,-4.8,61.0,82,2,5.82,ES,2020-08-26 04:32:03
227,Barmer,25.75,71.38,84.31,70,40,18.84,IN,2020-08-26 04:32:03
228,Lagoa,39.05,-27.98,73.63,89,12,13.22,PT,2020-08-26 04:32:04
229,Noumea,-22.28,166.46,73.4,56,68,14.99,NC,2020-08-26 04:30:06
230,Oranjemund,-28.55,16.43,51.48,87,1,2.82,NA,2020-08-26 04:32:04
231,Mantua,45.17,10.78,66.0,87,1,2.82,IT,2020-08-26 04:32:05
232,Florianopolis,-27.61,-48.5,60.8,87,2,8.05,BR,2020-08-26 04:30:37
233,Kruisfontein,-34.0,24.73,55.0,85,38,1.01,ZA,2020-08-26 04:32:05
234,Dromolaxia,34.88,33.59,78.01,88,20,3.36,CY,2020-08-26 04:32:06
235,Jinka,5.65,36.65,67.17,75,89,3.42,ET,2020-08-26 04:32:06
236,Presidencia Roque Saenz Pena,-26.79,-60.44,78.75,49,83,8.97,AR,2020-08-26 04:32:06
237,Petrolina,-9.4,-40.5,71.6,78,20,11.41,BR,2020-08-26 04:30:15
238,Kahului,20.89,-156.47,82.4,65,40,23.04,US,2020-08-26 04:27:28
239,Luchegorsk,46.48,134.26,79.11,72,100,5.12,RU,2020-08-26 04:32:07
240,Pilar,-9.6,-35.96,71.6,94,75,4.7,BR,2020-08-26 04:32:07
241,Manokwari,-0.87,134.08,84.24,69,2,9.4,ID,2020-08-26 04:32:08
242,Shimoda,34.67,138.95,84.2,70,75,10.29,JP,2020-08-26 04:32:08
243,Narsaq,60.92,-46.05,41.0,80,20,3.36,GL,2020-08-26 04:32:08
244,Pisco,-13.7,-76.22,62.01,87,78,0.49,PE,2020-08-26 04:32:08
245,Manoel Urbano,-8.84,-69.26,71.11,61,0,2.3,BR,2020-08-26 04:32:09
246,Sisimiut,66.94,-53.67,45.07,83,14,4.14,GL,2020-08-26 04:32:09
247,Ostersund,63.18,14.64,46.4,87,93,13.87,SE,2020-08-26 04:32:09
248,Coquimbo,-29.95,-71.34,51.8,87,20,9.17,CL,2020-08-26 04:32:10
249,Puerto Leguizamo,-0.19,-74.78,71.44,80,83,0.89,CO,2020-08-26 04:32:10
250,Thung Song,8.16,99.68,95.0,59,40,3.36,TH,2020-08-26 04:32:10
251,Dawson,31.77,-84.45,82.4,88,40,5.82,US,2020-08-26 04:32:10
252,Progreso,21.28,-89.67,80.6,83,75,6.93,MX,2020-08-26 04:32:11
253,Chuguyevka,44.17,133.86,88.86,41,54,1.68,RU,2020-08-26 04:32:11
254,Cidreira,-30.18,-50.21,61.45,85,80,22.93,BR,2020-08-26 04:32:11
255,Steinbach,50.17,8.57,69.8,60,20,17.22,DE,2020-08-26 04:32:12
256,Kapit,2.02,112.93,89.29,62,80,2.57,MY,2020-08-26 04:32:12
257,Linguere,15.4,-15.12,80.56,78,87,6.38,SN,2020-08-26 04:32:13
258,Verkhoyansk,67.54,133.38,54.95,39,0,2.98,RU,2020-08-26 04:32:13
259,Makakilo City,21.35,-158.09,84.2,58,40,9.17,US,2020-08-26 04:32:13
260,Kotovsk,47.75,29.53,61.12,82,12,12.01,UA,2020-08-26 04:32:14
261,Talnakh,69.49,88.4,62.6,67,18,4.47,RU,2020-08-26 04:32:14
262,Pochutla,15.74,-96.47,75.0,97,100,1.54,MX,2020-08-26 04:32:15
263,Mumbwa,-14.98,27.06,63.61,57,0,7.65,ZM,2020-08-26 04:32:15
264,Qaqortoq,60.72,-46.03,41.0,80,20,3.36,GL,2020-08-26 04:29:05
265,Walvis Bay,-22.96,14.51,55.99,76,90,5.82,NA,2020-08-26 04:32:16
266,Honiara,-9.43,159.95,84.2,79,75,2.24,SB,2020-08-26 04:32:16
